rank,prev_rank,name,league,off,def,spi
55,51,Burnley,Barclays Premier League,1.84,0.82,69.1
56,45,Leganes,Spanish Primera Division,1.65,0.69,68.76
57,63,Lille,French Ligue 1,1.79,0.8,68.5
58,61,Celta Vigo,Spanish Primera Division,1.91,0.91,68.31
59,54,AFC Bournemouth,Barclays Premier League,2.04,1.02,68.07
60,59,Club Brugge,Belgian Jupiler League,1.98,0.97,67.98
61,48,PAOK Salonika,Greek Super League,2.01,0.99,67.96
62,78,CSKA Moscow,Russian Premier Liga,1.75,0.8,67.83
63,73,Celtic,Scottish Premiership,1.95,0.97,67.42
64,74,Alavés,Spanish Primera Division,1.66,0.75,67.31
65,60,Espanyol,Spanish Primera Division,1.77,0.84,67.23
66,65,Leeds United,English League Championship,1.79,0.87,67.04
67,68,Fulham,English League Championship,1.86,0.92,67.01
68,72,Marseille,French Ligue 1,1.71,0.8,66.92
69,81,Osasuna,Spanish Primera Division,1.72,0.81,66.87
70,71,Atalanta,Italy Serie A,1.88,0.94,66.87
71,55,River Plate,Argentina Primera Division,1.8,0.88,66.68
72,76,Watford,Barclays Premier League,1.93,0.99,66.62
73,69,Dinamo Zagreb,UEFA Champions League,2.02,1.07,66.61
74,62,Galatasaray,Turkish Turkcell Super Lig,2.08,1.12,66.49
75,70,Basel,Swiss Raiffeisen Super League,2.12,1.16,66.21
76,66,FC Copenhagen,Danish SAS-Ligaen,2.02,1.08,66.21
77,64,Hertha Berlin,German Bundesliga,1.89,1.0,65.8
78,87,Granada,Spanish Primera Division,1.77,0.9,65.67
79,82,Levante,Spanish Primera Division,1.93,1.03,65.58
80,180,Dynamo Kiev,UEFA Europa League,1.9,1.02,65.44
81,67,Sporting CP,Portuguese Liga,1.88,1.01,65.15
82,79,Mainz,German Bundesliga,1.96,1.08,65.15
83,75,Fiorentina,Italy Serie A,1.86,1.0,65.14
84,89,Montpellier,French Ligue 1,1.59,0.79,64.89
85,84,Brighton and Hove Albion,Barclays Premier League,1.7,0.88,64.86
86,80,Real Valladolid,Spanish Primera Division,1.68,0.87,64.65
87,85,Fortuna Düsseldorf,German Bundesliga,1.88,1.05,64.36
88,92,Nantes,French Ligue 1,1.6,0.82,64.27
89,77,Lokomotiv Moscow,Russian Premier Liga,1.72,0.92,64.24
90,97,Sheffield United,Barclays Premier League,1.68,0.89,64.23
91,93,Genk,Belgian Jupiler League,1.85,1.03,64.09
92,83,Aston Villa,Barclays Premier League,1.71,0.92,64.02
93,91,Guangzhou Evergrande,Chinese Super League,1.91,1.1,63.79
94,88,Mallorca,Spanish Primera Division,1.7,0.92,63.78
95,102,FC Cologne,German Bundesliga,1.7,0.93,63.77
96,94,Torino,Italy Serie A,1.78,0.99,63.69
97,98,Ludogorets,UEFA Europa League,1.66,0.91,63.34
98,95,Los Angeles FC,Major League Soccer,2.19,1.36,63.24
99,96,Norwich City,Barclays Premier League,1.71,0.97,62.87
100,86,Boca Juniors,Argentina Primera Division,1.56,0.84,62.75
101,90,St Etienne,French Ligue 1,1.67,0.94,62.56
102,101,Red Star Belgrade,UEFA Champions League,2.0,1.23,62.4
103,107,Angers,French Ligue 1,1.61,0.91,62.11
104,109,Sassuolo,Italy Serie A,1.73,1.02,61.9
105,127,Bologna,Italy Serie A,1.66,0.96,61.89
106,99,SC Freiburg,German Bundesliga,1.78,1.07,61.73
107,100,Santos,Brasileiro Série A,1.64,0.96,61.64
108,108,AS Monaco,French Ligue 1,1.69,1.01,61.52
109,110,Nice,French Ligue 1,1.55,0.89,61.49
110,105,Besiktas,Turkish Turkcell Super Lig,2.01,1.3,61.05
111,119,Genoa,Italy Serie A,1.72,1.07,60.68
112,113,Udinese,Italy Serie A,1.64,1.0,60.62
113,116,Slavia Prague,UEFA Champions League,1.84,1.19,60.34
114,114,Grêmio,Brasileiro Série A,1.49,0.88,60.12
115,126,FC Midtjylland,Danish SAS-Ligaen,1.7,1.09,59.76
116,106,Rangers,Scottish Premiership,1.82,1.2,59.76
117,111,Stade Rennes,French Ligue 1,1.64,1.04,59.64
118,122,Atlético Paranaense,Brasileiro Série A,1.51,0.93,59.44
119,133,Bordeaux,French Ligue 1,1.45,0.88,59.38
120,120,Fenerbahce,Turkish Turkcell Super Lig,1.72,1.13,59.28
121,117,Cagliari,Italy Serie A,1.6,1.03,59.19
122,124,Beijing Guoan,Chinese Super League,1.72,1.14,58.99
123,104,Sampdoria,Italy Serie A,1.66,1.09,58.96
124,115,LASK Linz,Austrian T-Mobile Bundesliga,1.65,1.08,58.93
125,,Apoel Nicosia,UEFA Europa League,1.64,1.07,58.93
126,131,Reims,French Ligue 1,1.44,0.9,58.72
127,132,SC Paderborn,German Bundesliga,1.61,1.05,58.62
128,135,1. FC Union Berlin,German Bundesliga,1.59,1.04,58.58
129,128,Shanghai SIPG,Chinese Super League,1.68,1.12,58.52
130,129,FC Augsburg,German Bundesliga,1.83,1.26,58.48
131,118,Monterrey,Mexican Primera Division Torneo Apertura,1.62,1.07,58.43
132,123,Strasbourg,French Ligue 1,1.52,0.99,58.29
133,130,FC Astana,UEFA Europa League,1.7,1.15,58.29
134,134,Feyenoord,Dutch Eredivisie,1.8,1.24,58.27
135,149,Brentford,English League Championship,1.54,1.01,58.23
136,136,Nimes,French Ligue 1,1.66,1.12,58.12
137,147,Malmo FF,Swedish Allsvenskan,1.53,1.02,57.73
138,121,Braga,Portuguese Liga,1.6,1.08,57.71
